NORAD ID,Longitude,Compliance Grade
40882,179.59,F
47613,178.47,B
41869,176.94,F
26554,176.0,A
40746,174.98,B
43874,173.01,A
42741,172.0,A
23467,171.96,B
50005,170.95,B
51287,169.71,F
43633,169.0,A
38356,166.01,B
55506,165.78,B
54230,163.28,F
43271,161.99,A
37210,160.06,A
32252,160.0,A
25924,159.05,F
50321,158.8,F
56757,156.71,F
40146,156.02,A
35756,156.02,A
41744,155.81,F
40892,155.03,A
41471,154.0,A
29495,152.03,A
27711,151.59,F
41591,150.51,A
44868,150.0,A
41879,149.81,F
55239,148.0,F
27718,147.58,D
55912,146.78,D
47851,146.41,F
44048,145.98,A
50001,145.02,B
41794,144.82,F
44231,144.46,B
33274,143.96,A
28628,143.47,A
51281,143.07,F
40982,142.02,B
41836,140.78,A
40267,140.67,A
40940,140.27,F
39487,140.03,A
39613,139.86,F
43162,139.0,B
43611,138.0,F
45465,137.33,F
50574,137.21,D
45245,135.93,A
43339,134.11,F
45863,134.04,B
43450,134.03,A
48808,133.38,F
29045,132.07,A
32767,131.96,A
38332,131.87,A
44067,130.47,F
49505,130.19,F
43920,130.04,B
41469,129.61,F
56759,129.6,F
41034,128.51,A
43823,128.29,B
45246,128.25,B
36744,128.15,A
43432,128.08,A
29272,128.01,A
37384,125.45,F
55686,125.15,F
52255,125.09,A
41729,124.88,F
38331,124.04,A
42942,122.11,B
40141,119.93,A
28786,119.51,A
52940,119.32,D
43463,119.12,D
41944,118.02,A
46610,117.87,A
20253,117.74,F
37256,116.67,F
44709,116.55,F
45920,116.21,D
37265,116.03,B
42691,115.92,A
31800,115.53,A
40547,113.19,F
42984,113.16,F
29349,113.08,A
41586,110.58,A
37677,110.55,A
42662,110.49,A
45807,110.34,F
41903,110.07,B
46112,109.89,B
42951,109.88,A
37207,109.87,B
32019,109.86,B
43539,109.53,F
44337,109.14,F
41380,108.33,F
34941,108.25,A
43587,107.99,B
36828,107.92,F
41241,107.63,F
44978,107.58,B
41194,105.72,F
37933,105.47,A
41882,104.64,F
37948,104.4,F
41021,103.4,F
50002,102.9,F
49125,101.44,A
35696,100.54,A
