NORAD ID,Longitude,Compliant,Highest-Maturity Filing Type,Brought-into-Use,Due Diligence Match,Suspension Status
38978,-177.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
33749,-176.94,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
39206,-176.51,No 🔴,n/a,n/a,n/a,n/a
39070,-174.3,No 🔴,n/a,n/a,n/a,n/a
51287,-171.96,No 🔴,n/a,n/a,n/a,n/a
56371,-162.99,No 🟡,Coordination Request (C),No,n/a,n/a
39256,-154.6,No 🔴,n/a,n/a,n/a,n/a
53355,-144.95,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
26580,-139.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
51850,-137.0,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
39222,-135.18,No 🔴,n/a,n/a,n/a,n/a
52933,-135.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
55971,-134.92,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
54026,-133.02,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
53961,-130.91,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
27691,-130.1,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42709,-129.15,No 🔴,n/a,n/a,n/a,n/a
56757,-128.99,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
54027,-128.94,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
33453,-128.88,No 🔴,n/a,n/a,n/a,n/a
27954,-127.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
46114,-125.04,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
33275,-124.92,Yes 🟢,Due Diligence (U),Yes,Full,n/a
26715,-123.82,No 🔴,n/a,n/a,n/a,n/a
32951,-123.03,Yes 🟢,Due Diligence (U),Yes,Full,n/a
55263,-121.87,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
27854,-121.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
54243,-120.98,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
23712,-119.35,No 🔴,n/a,n/a,n/a,n/a
28659,-119.06,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
36499,-118.92,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
31102,-118.73,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41589,-116.99,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
39122,-116.83,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
39360,-116.14,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
37843,-115.12,No 🔴,n/a,n/a,n/a,n/a
40425,-114.91,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
39035,-114.82,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40946,-113.12,No 🔴,n/a,n/a,n/a,n/a
29162,-113.02,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
49817,-111.65,No 🔴,n/a,n/a,n/a,n/a
29643,-111.19,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
28378,-111.14,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
28252,-111.12,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
35496,-110.98,No 🔴,n/a,n/a,n/a,n/a
28935,-110.18,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
33207,-110.02,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
42070,-109.9,No 🔴,n/a,n/a,n/a,n/a
28868,-107.34,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
39127,-107.32,Yes 🟢,Due Diligence (U),Yes,Full,n/a
38551,-107.12,No 🔴,n/a,n/a,n/a,n/a
28446,-105.06,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42967,-104.98,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43226,-104.73,No 🔴,n/a,n/a,n/a,n/a
41622,-104.52,No 🟡,Coordination Request (C),No,n/a,n/a
53960,-103.12,No 🔴,n/a,n/a,n/a,n/a
55970,-103.08,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
40663,-102.86,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
31862,-102.78,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
36131,-102.71,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
37218,-101.25,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
29494,-101.23,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
36516,-101.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
36395,-100.89,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
44333,-100.84,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
38093,-100.47,No 🔴,n/a,n/a,n/a,n/a
49115,-99.49,No 🟡,Coordination Request (C),No,n/a,n/a
40333,-99.23,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
32729,-99.19,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
29236,-99.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
33278,-97.96,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41893,-97.11,No 🔴,n/a,n/a,n/a,n/a
33376,-97.02,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41937,-96.82,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
25258,-96.67,No 🔴,n/a,n/a,n/a,n/a
41581,-95.07,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
40271,-95.05,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
32018,-94.93,Yes 🟢,Due Diligence (U),Yes,Full,n/a
27445,-94.83,No 🔴,n/a,n/a,n/a,n/a
38254,-94.19,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
54741,-93.1,No 🔴,n/a,n/a,n/a,n/a
32763,-92.78,No 🔴,n/a,n/a,n/a,n/a
38342,-91.13,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
54244,-91.02,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
56174,-91.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
22988,-90.77,No 🔴,n/a,n/a,n/a,n/a
54742,-89.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
28702,-89.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
56370,-88.87,No 🔴,n/a,n/a,n/a,n/a
39481,-87.21,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37809,-87.02,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
35493,-86.12,Yes 🟢,Due Diligence (U),Yes,Full,n/a
55138,-85.38,No 🔴,n/a,n/a,n/a,n/a
48838,-85.24,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
31307,-85.0,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41904,-83.98,Yes 🟢,Due Diligence (U),Yes,Full,n/a
29644,-83.02,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
33373,-82.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40941,-81.01,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
40664,-78.77,No 🔴,n/a,n/a,n/a,n/a
37826,-77.01,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
36397,-76.22,No 🔴,n/a,n/a,n/a,n/a
41866,-75.19,No 🔴,n/a,n/a,n/a,n/a
38991,-75.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42692,-74.87,No 🔴,n/a,n/a,n/a,n/a
39616,-74.04,No 🟡,Coordination Request (C),No,n/a,n/a
32388,-73.82,No 🔴,n/a,n/a,n/a,n/a
35873,-72.7,No 🔴,n/a,n/a,n/a,n/a
40272,-71.82,No 🔴,n/a,n/a,n/a,n/a
49055,-70.1,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
40733,-70.03,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42740,-69.89,No 🔴,n/a,n/a,n/a,n/a
43651,-67.67,No 🔴,n/a,n/a,n/a,n/a
49332,-67.09,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42432,-66.91,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41382,-65.22,No 🔴,n/a,n/a,n/a,n/a
32768,-65.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43562,-63.03,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
37602,-63.02,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
39008,-61.52,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
41592,-61.37,No 🔴,n/a,n/a,n/a,n/a
35942,-61.04,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
39078,-61.02,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
42934,-61.01,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
55508,-59.01,No 🟡,Coordination Request (C),No,n/a,n/a
38749,-58.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
40874,-55.48,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40384,-55.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
38867,-53.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39168,-52.5,Yes 🟢,Due Diligence (U),Yes,Full,n/a
26880,-49.6,No 🔴,n/a,n/a,n/a,n/a
43175,-47.5,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
36097,-45.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41945,-43.17,No 🔴,n/a,n/a,n/a,n/a
32253,-43.03,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39504,-40.83,No 🔴,n/a,n/a,n/a,n/a
39172,-40.53,Yes 🟢,Due Diligence (U),Yes,Full,n/a
29520,-38.97,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39120,-37.99,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
34111,-37.57,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
41942,-35.99,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42818,-34.52,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43272,-33.49,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
33153,-31.51,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37264,-30.06,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43228,-30.05,Yes 🟢,Due Diligence (U),Yes,Full,n/a
28945,-30.0,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
37804,-29.71,No 🔴,n/a,n/a,n/a,n/a
26824,-27.49,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
44625,-27.49,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43039,-24.82,Yes 🟢,Due Diligence (U),Yes,Full,n/a
25967,-23.13,No 🔴,n/a,n/a,n/a,n/a
38087,-22.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43174,-20.12,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
40258,-18.08,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
42950,-18.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
33055,-17.85,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40374,-15.6,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41036,-15.02,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
40895,-13.99,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42075,-12.0,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
33595,-11.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
49258,-9.96,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
40875,-8.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37816,-7.33,No 🔴,n/a,n/a,n/a,n/a
36830,-7.05,Yes 🟢,Due Diligence (U),Yes,Full,n/a
52817,-7.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
29273,-5.21,No 🔴,n/a,n/a,n/a,n/a
44624,-5.04,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
32794,-4.16,No 🔴,n/a,n/a,n/a,n/a
40107,-3.91,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
54743,-3.37,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
40424,-2.99,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
28358,-0.99,Yes 🟢,Due Diligence (U),Yes,Full,n/a
46113,-0.99,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
32478,-0.91,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
36033,-0.88,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
32487,-0.78,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
40613,-0.67,No 🔴,n/a,n/a,n/a,n/a
54048,0.51,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
54259,1.54,No 🟡,Coordination Request (C),No,n/a,n/a
42801,1.87,Yes 🟢,Due Diligence (U),Yes,Full,n/a
53765,2.67,No 🟡,Coordination Request (C),No,n/a,n/a
36831,2.84,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
39773,3.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
36868,3.96,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
32299,4.78,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
38652,4.96,Yes 🟢,Due Diligence (U),Yes,Full,n/a
32258,6.0,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
44334,6.97,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39163,7.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
45027,7.21,No 🟡,Coordination Request (C),No,n/a,n/a
37258,8.91,Yes 🟢,Due Diligence (U),Yes,Full,n/a
55841,8.98,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
41310,8.99,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
34710,9.94,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42749,10.21,No 🔴,n/a,n/a,n/a,n/a
53100,10.55,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
44801,11.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
55180,11.57,No 🔴,n/a,n/a,n/a,n/a
44457,12.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
28946,12.92,Yes 🟢,Due Diligence (U),Yes,Full,n/a
29270,12.95,Yes 🟢,Due Diligence (U),Yes,Full,n/a
54225,13.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
36582,13.14,No 🔴,n/a,n/a,n/a,n/a
37836,15.96,Yes 🟢,Due Diligence (U),Yes,Full,n/a
49011,16.77,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
44479,16.98,Yes 🟢,Due Diligence (U),Yes,Full,n/a
27168,19.03,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
33436,19.14,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
29055,19.18,Yes 🟢,Due Diligence (U),Yes,Full,n/a
31306,19.22,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37810,19.94,Yes 🟢,Due Diligence (U),Yes,Full,n/a
48618,20.73,No 🔴,n/a,n/a,n/a,n/a
38992,21.59,Yes 🟢,Due Diligence (U),Yes,Full,n/a
54033,23.0,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
36581,23.48,Yes 🟢,Due Diligence (U),Yes,Partial,Full
50322,25.21,No 🟡,Coordination Request (C),No,n/a,n/a
39233,25.5,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43700,25.79,No 🔴,n/a,n/a,n/a,n/a
36592,25.95,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
33154,25.95,Yes 🟢,Due Diligence (U),Yes,Full,n/a
29526,25.98,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41029,25.98,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
40364,28.18,Yes 🟢,Due Diligence (U),Yes,Full,n/a
38778,28.22,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39285,28.51,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
22787,28.64,No 🔴,n/a,n/a,n/a,n/a
28542,28.99,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
36745,30.45,Yes 🟢,Due Diligence (U),Yes,Full,n/a
44186,30.46,Yes 🟢,Due Diligence (U),Yes,Full,n/a
47306,30.94,Yes 🟢,Due Diligence (U),Yes,Full,n/a
38741,31.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
44475,31.19,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39617,31.45,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41384,32.66,No 🔴,n/a,n/a,n/a,n/a
37392,32.83,No 🔴,n/a,n/a,n/a,n/a
33750,33.08,Yes 🟢,Due Diligence (U),Yes,Full,n/a
49330,35.45,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
44800,35.49,Yes 🟢,Due Diligence (U),Yes,Full,n/a
36101,35.88,No 🔴,n/a,n/a,n/a,n/a
41191,36.09,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
39509,37.8,No 🔴,n/a,n/a,n/a,n/a
37779,37.96,Yes 🟢,Due Diligence (U),Yes,Full,n/a
44034,38.94,Yes 🟢,Due Diligence (U),Yes,Full,Resumed
42814,39.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40505,39.99,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
33056,41.97,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
39522,41.99,Yes 🟢,Due Diligence (U),Yes,Full,n/a
50212,42.05,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
38014,42.52,Yes 🟢,Due Diligence (U),Yes,Full,n/a
27825,44.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42907,45.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43632,45.13,No 🔴,n/a,n/a,n/a,n/a
49333,45.52,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39079,45.99,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
38245,47.6,No 🔴,n/a,n/a,n/a,n/a
49056,47.71,No 🔴,n/a,n/a,n/a,n/a
44035,47.88,No 🔴,n/a,n/a,n/a,n/a
42747,47.93,Yes 🟢,Due Diligence (U),Yes,Full,n/a
44307,49.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40984,49.99,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
41238,51.47,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
40617,52.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
37393,52.48,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39034,52.78,No 🔴,n/a,n/a,n/a,n/a
40277,52.99,Yes 🟢,Due Diligence (U),Yes,Full,n/a
44481,54.76,No 🔴,n/a,n/a,n/a,n/a
39022,54.91,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43286,55.09,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37605,55.09,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40332,55.12,No 🔴,n/a,n/a,n/a,n/a
43698,55.13,No 🔴,n/a,n/a,n/a,n/a
39635,55.73,No 🔴,n/a,n/a,n/a,n/a
39612,56.0,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
42698,56.5,Yes 🟢,Due Diligence (U),Yes,Full,n/a
36032,57.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
34713,57.51,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
39728,58.52,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
41748,60.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
44071,60.29,No 🔴,n/a,n/a,n/a,n/a
29155,61.28,No 🔴,n/a,n/a,n/a,n/a
44476,61.96,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
39476,62.63,No 🔴,n/a,n/a,n/a,n/a
43864,62.85,No 🟡,Planned (P),No,n/a,n/a
35943,63.03,Yes 🟢,Due Diligence (U),Yes,Full,n/a
28899,63.91,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39237,65.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37481,65.69,No 🔴,n/a,n/a,n/a,n/a
37238,66.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41911,66.43,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
38740,68.5,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41747,68.52,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43867,70.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39020,70.46,Yes 🟢,Due Diligence (U),Yes,Full,n/a
38098,72.12,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
41752,73.92,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39234,73.95,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39498,73.98,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41793,74.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43824,74.07,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41588,74.76,No 🔴,n/a,n/a,n/a,n/a
