NORAD ID,Longitude,Compliant,Note
38978,-177.04,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
33749,-176.94,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
39206,-176.46,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
39070,-174.25,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
51287,-164.61,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
56371,-162.99,No,"There exists a space network within 0.1 degrees held by a corresponding ITU administration, but its filings are in their early stages: there is not right to be protected from harmful interference."
39256,-154.51,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
53355,-144.97,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
26580,-139.01,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
51850,-137.01,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
39222,-135.18,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
52933,-134.98,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
55971,-134.91,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
54026,-133.0,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
53961,-130.92,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
27691,-129.52,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
42709,-129.15,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
54027,-128.95,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
33453,-128.88,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
27954,-127.02,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
46114,-125.03,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
33275,-124.93,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
26715,-123.83,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
32951,-123.03,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
55263,-121.9,Yes,"There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration. The identified network was previous suspended, but has since resumed operation."
27854,-121.0,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
54243,-120.98,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
23712,-119.48,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
28659,-119.06,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
36499,-118.91,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
31102,-118.73,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
41589,-117.0,No,"There exists a space network within 0.1 degrees held by a corresponding ITU administration, but its filings are in their early stages: there is not right to be protected from harmful interference."
39122,-116.81,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
39360,-116.15,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
37843,-115.12,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
40425,-114.91,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
39035,-114.83,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
40946,-113.06,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
29162,-113.01,No,"There exists a space network within 0.1 degrees held by a corresponding ITU administration, but its filings are in their early stages: there is not right to be protected from harmful interference."
56757,-111.75,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
49817,-111.65,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
29643,-111.19,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
28378,-111.14,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
28252,-111.13,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
35496,-110.98,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
28935,-110.17,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
33207,-110.02,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
42070,-109.91,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
28868,-107.33,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
39127,-107.31,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
38551,-107.12,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
41622,-105.36,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
28446,-105.05,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
42967,-104.98,Yes,There exists a space network within 0.1 degrees that has been brought into use by a corresponding ITU administration.
43226,-104.72,No,There are no space networks within 0.1 degrees for which any filings have been submitted by a corresponding ITU administration.
