Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
USOBO-2,United States 🇺🇸,96.8°W,Non-Planned,Late-Stage,Yes,No,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USOBO-2&sel_satname=USOBO-2&plan_id=
USOBO-2B,United States 🇺🇸,96.8°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-2B&sel_satname=USOBO-2B&plan_id=
USOBO-2C,United States 🇺🇸,96.8°W,Non-Planned,Early-Stage,No,n/a,No,0.03°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-2C&sel_satname=USOBO-2C&plan_id=
USASAT-24D,United States 🇺🇸,97.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.17°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24D&sel_satname=USASAT-24D&plan_id=
USASAT-35K,United States 🇺🇸,97.0°W,Non-Planned,Late-Stage,Yes,Partial,No,0.17°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35K&sel_satname=USASAT-35K&plan_id=
USASAT-71P,United States 🇺🇸,97.0°W,Non-Planned,Early-Stage,No,n/a,No,0.17°,Yes 🟢,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-71P&sel_satname=USASAT-71P&plan_id=
RAGGIANA-5,Papua New Guinea 🇵🇬,97.0°W,Non-Planned,Late-Stage,Yes,No,No,0.17°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=RAGGIANA-5&sel_satname=RAGGIANA-5&plan_id=
ODYSSEY-97W,Germany 🇩🇪,97.0°W,Non-Planned,Early-Stage,No,n/a,No,0.17°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-97W&sel_satname=ODYSSEY-97W&plan_id=
ODYSSEY FSS-97W,Germany 🇩🇪,97.0°W,Planned,Early-Stage,No,n/a,No,0.17°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-97W&sel_satname=ODYSSEY+FSS-97W&plan_id=plan
HISPASAT-54A,Spain 🇪🇸,97.5°W,Non-Planned,Early-Stage,No,n/a,No,0.67°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-54A&sel_satname=HISPASAT-54A&plan_id=
HISPASAT-77A,Spain 🇪🇸,97.5°W,Planned,Early-Stage,No,n/a,No,0.67°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-77A&sel_satname=HISPASAT-77A&plan_id=plan
CANGYU-3,China 🇨🇳,96.0°W,Non-Planned,Early-Stage,No,n/a,No,0.83°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANGYU-3&sel_satname=CANGYU-3&plan_id=
CTR00000,Costa Rica 🇨🇷,96.0°W,Planned,Early-Stage,No,n/a,No,0.83°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CTR00000&sel_satname=CTR00000&plan_id=plan
