,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
48,ASIASAT-1,2,CHN,105.5,04.06.1998,0,1,1,1,1,4
1594,CHINASAT-3,1,CHN,98.0,21.05.1998,59,1,1,1,1,4
1535,CHINASAT-2,1,CHN,110.5,21.05.1998,448,1,1,1,1,4
717,CHINASAT-1,1,CHN,87.5,21.05.1998,822,1,1,1,1,4
957,STW-2,1,CHN,103.0,21.05.1998,1554,1,1,1,1,4
266,ASIASAT-EK1,1,CHN,100.5,04.06.1998,2061,1,1,1,1,4
292,ASIASAT-EKS,1,CHN,100.5,19.03.2004,2061,1,1,1,1,4
940,ASIASAT-E,2,CHN,100.5,02.11.2009,2061,1,1,1,1,4
1197,ASIASAT-EKX,1,CHN,100.5,19.03.2004,2061,1,1,1,1,4
1275,DFH-3-OB,1,CHN,103.0,21.05.1998,2113,1,1,1,1,4
32,STW-1,1,CHN,125.0,14.11.2000,2234,1,1,1,1,4
1024,CHINASAT-51.5E,1,CHN,51.5,20.10.2010,2277,1,1,1,1,4
783,CHINASAT-31,1,CHN,80.0,13.05.1998,2297,1,1,1,1,4
1403,FY-2BS,1,CHN,86.5,13.09.2004,2536,1,1,1,1,4
328,DFH-3-OA,1,CHN,125.0,21.04.1998,2592,1,1,1,1,4
1362,FY-2A,1,CHN,105.0,13.05.1998,2621,1,1,1,1,4
920,CHINASAT-C20,1,CHN,126.0,31.05.2019,2734,1,1,1,1,4
1066,CHINASAT-CL11,2,CHN,163.0,01.06.2017,2734,1,1,1,1,4
1138,DFH-3-OC,1,CHN,87.5,21.04.1998,2734,1,1,1,1,4
1517,APSTAR-4,1,CHN,76.5,21.04.1998,2750,1,1,1,1,4
1610,APSTAR-76E,1,CHN,76.5,26.06.2008,2750,1,1,1,1,4
1520,APSTAR-142E-R,2,CHN,142.0,12.05.2014,2975,1,1,1,1,4
728,CHINASAT-6,1,CHN,110.5,21.04.1998,2977,1,1,1,1,4
1571,DFH-3A-OB,1,CHN,110.5,29.04.2003,3024,1,1,1,1,4
351,CHINASAT-ROUTE8,1,CHN,125.0,18.07.2022,3043,1,1,1,1,4
1519,APSTAR-142E-R,1,CHN,142.0,12.05.2014,3062,1,1,1,1,4
582,DFH-4-OD,1,CHN,115.5,21.04.1998,3235,1,1,1,1,4
47,ASIASAT-1,1,CHN,105.5,04.06.1998,3265,1,1,1,1,4
247,ASIASAT-CKX,1,CHN,105.5,04.02.1999,3265,1,1,1,1,4
883,ASIASAT-CK,1,CHN,105.5,26.08.2015,3265,1,1,1,1,4
1223,ASIASAT-CK1,1,CHN,105.5,04.02.1999,3265,1,1,1,1,4
1238,ASIASAT-CKZ,1,CHN,105.5,22.05.2012,3265,1,1,1,1,4
