Network,ITU Administration,Longitude,Network Type,Filing Maturity,Brought into Use,Due Diligence Match,Suspended,Longitudinal Distance,Eligible,Link
NYASIABSS,Papua New Guinea 🇵🇬,105.0°E,Non-Planned,Early-Stage,No,n/a,No,0.08°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NYASIABSS&sel_satname=NYASIABSS&plan_id=
FY-2A,China 🇨🇳,105.0°E,Non-Planned,Late-Stage,Yes,No,No,0.08°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FY-2A&sel_satname=FY-2A&plan_id=
FYGEOSAT-105E,China 🇨🇳,105.0°E,Non-Planned,Late-Stage,Yes,No,No,0.08°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FYGEOSAT-105E&sel_satname=FYGEOSAT-105E&plan_id=
FYGEOSAT-A-105E,China 🇨🇳,105.0°E,Non-Planned,Early-Stage,No,n/a,No,0.08°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FYGEOSAT-A-105E&sel_satname=FYGEOSAT-A-105E&plan_id=
ASIABSS,Australia 🇦🇺,105.0°E,Non-Planned,Late-Stage,Yes,No,No,0.08°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIABSS&sel_satname=ASIABSS&plan_id=
FY-2AS,China 🇨🇳,105.0°E,Non-Planned,Late-Stage,Yes,No,No,0.08°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FY-2AS&sel_satname=FY-2AS&plan_id=
CD-SAT-FSS-105.2E-G2,France 🇫🇷,105.2°E,Planned,Early-Stage,No,n/a,No,0.28°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CD-SAT-FSS-105.2E-G2&sel_satname=CD-SAT-FSS-105.2E-G2&plan_id=plan
OMANSAT-104.5E,Oman 🇴🇲,104.5°E,Non-Planned,Early-Stage,No,n/a,No,0.42°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=OMANSAT-104.5E&sel_satname=OMANSAT-104.5E&plan_id=
INSAT-KA104.5E,India 🇮🇳,104.5°E,Non-Planned,Early-Stage,No,n/a,No,0.42°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KA104.5E&sel_satname=INSAT-KA104.5E&plan_id=
INSAT-EXC(104.4E),India 🇮🇳,104.4°E,Planned,Early-Stage,No,n/a,No,0.52°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INSAT-EXC(104.4E)&sel_satname=INSAT-EXC(104.4E)&plan_id=plan
ASIASAT-CKW,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,No,No,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKW&sel_satname=ASIASAT-CKW&plan_id=
ASIASAT-CKS,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,No,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKS&sel_satname=ASIASAT-CKS&plan_id=
ASIASAT-105.5Q,China 🇨🇳,105.5°E,Non-Planned,Early-Stage,No,n/a,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ASIASAT-105.5Q&sel_satname=ASIASAT-105.5Q&plan_id=
QXSI-105.5E-EX-L,China 🇨🇳,105.5°E,Non-Planned,Early-Stage,No,n/a,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QXSI-105.5E-EX-L&sel_satname=QXSI-105.5E-EX-L&plan_id=
ASIASAT-105.5P,China 🇨🇳,105.5°E,Non-Planned,Early-Stage,No,n/a,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ASIASAT-105.5P&sel_satname=ASIASAT-105.5P&plan_id=
ASIASAT-1,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,No,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-1&sel_satname=ASIASAT-1&plan_id=
ASIASAT-CK1,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,No,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CK1&sel_satname=ASIASAT-CK1&plan_id=
ASIASAT-CKX,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,No,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKX&sel_satname=ASIASAT-CKX&plan_id=
ASIASAT-CK,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,No,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CK&sel_satname=ASIASAT-CK&plan_id=
ASIASAT-CKZ,China 🇨🇳,105.5°E,Non-Planned,Late-Stage,Yes,No,No,0.58°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ASIASAT-CKZ&sel_satname=ASIASAT-CKZ&plan_id=
GC-4-105.6E,China 🇨🇳,105.6°E,Non-Planned,Late-Stage,No,No,No,0.68°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GC-4-105.6E&sel_satname=GC-4-105.6E&plan_id=
OMA00000,Oman 🇴🇲,104.0°E,Planned,Early-Stage,No,n/a,No,0.92°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=OMA00000&sel_satname=OMA00000&plan_id=plan
ADF WEST-5,Australia 🇦🇺,104.0°E,Non-Planned,Late-Stage,Yes,No,No,0.92°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ADF+WEST-5&sel_satname=ADF+WEST-5&plan_id=
DDSP-104E,Australia 🇦🇺,104.0°E,Non-Planned,Late-Stage,Yes,No,No,0.92°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DDSP-104E&sel_satname=DDSP-104E&plan_id=
SPACENS-104E,France 🇫🇷,104.0°E,Non-Planned,Early-Stage,No,n/a,No,0.92°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SPACENS-104E&sel_satname=SPACENS-104E&plan_id=
ADF 104E IOR,Australia 🇦🇺,104.0°E,Non-Planned,Early-Stage,No,n/a,No,0.92°,No 🔴,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ADF+104E+IOR&sel_satname=ADF+104E+IOR&plan_id=
