License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Match,Link
USGON-6,United States 🇺🇸,145.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-6&sel_satname=USGON-6&plan_id=
RUSATCOM-B 145E,Russian Federation 🇷🇺,145.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=RUSATCOM-B+145E&sel_satname=RUSATCOM-B+145E&plan_id=
USOBO-18B,United States 🇺🇸,145.0°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-18B&sel_satname=USOBO-18B&plan_id=
RUSATCOM-145E,Russian Federation 🇷🇺,145.0°E,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=RUSATCOM-145E&sel_satname=RUSATCOM-145E&plan_id=
KRE00000,Dem. People's Rep. of Korea 🇰🇵,145.0°E,Planned,Planned (P/Plan/List),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=KRE00000&sel_satname=KRE00000&plan_id=plan
EXPRESS-11,Russian Federation 🇷🇺,145.0°E,Non-Planned,Due Diligence (U),Yes,None,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-11&sel_satname=EXPRESS-11&plan_id=
AUS-NBN-4,Australia 🇦🇺,145.0°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=AUS-NBN-4&sel_satname=AUS-NBN-4&plan_id=
VOLNA-6R,Russian Federation 🇷🇺,145.0°E,Non-Planned,Due Diligence (U),Yes,Partial,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-6R&sel_satname=VOLNA-6R&plan_id=
CANGYU-1,China 🇨🇳,144.6°E,Non-Planned,Advance Public Information (A),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=CANGYU-1&sel_satname=CANGYU-1&plan_id=
KYPROS-145.5E,Cyprus 🇨🇾,145.5°E,Non-Planned,Coordination Request (C),n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-145.5E&sel_satname=KYPROS-145.5E&plan_id=
COMPASS-30B-144.5E,China 🇨🇳,144.5°E,Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-30B-144.5E&sel_satname=COMPASS-30B-144.5E&plan_id=plan
COMPASS-A-144.5E,China 🇨🇳,144.5°E,Non-Planned,Notification of Space Station (N),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=COMPASS-A-144.5E&sel_satname=COMPASS-A-144.5E&plan_id=
COMPASS-B-144.5E,China 🇨🇳,144.5°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=COMPASS-B-144.5E&sel_satname=COMPASS-B-144.5E&plan_id=
CHINASAT-35C,China 🇨🇳,144.5°E,Non-Planned,Due Diligence (U),Yes,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-35C&sel_satname=CHINASAT-35C&plan_id=
