Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
TUPAK KATARI-1,Bolivia (Plurinational State of) 🇧🇴,87.2°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TUPAK+KATARI-1&sel_satname=TUPAK+KATARI-1&plan_id=
USAEGIS-87.2W,United States 🇺🇸,87.2°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USAEGIS-87.2W&sel_satname=USAEGIS-87.2W&plan_id=
TKSAT-3,Bolivia (Plurinational State of) 🇧🇴,87.2°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TKSAT-3&sel_satname=TKSAT-3&plan_id=
INMARSAT-7-87W,Switzerland 🇨🇭,87.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-7-87W&sel_satname=INMARSAT-7-87W&plan_id=
LUX-G7-43,Luxembourg 🇱🇺,87.0°W,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G7-43&sel_satname=LUX-G7-43&plan_id=
LUX-G12-45,Luxembourg 🇱🇺,87.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G12-45&sel_satname=LUX-G12-45&plan_id=
LUX-G15-45,Luxembourg 🇱🇺,87.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G15-45&sel_satname=LUX-G15-45&plan_id=
USASAT-35P,United States 🇺🇸,87.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35P&sel_satname=USASAT-35P&plan_id=
LUX-G11-45,Luxembourg 🇱🇺,87.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=LUX-G11-45&sel_satname=LUX-G11-45&plan_id=
NSS-FSS 87W,Netherlands 🇳🇱,87.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS+87W&sel_satname=NSS-FSS+87W&plan_id=plan
IK-87W-F,Russian Federation 🇷🇺,87.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IK-87W-F&sel_satname=IK-87W-F&plan_id=plan
USASAT-24T,United States 🇺🇸,87.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24T&sel_satname=USASAT-24T&plan_id=
NSS-G4-9,Netherlands 🇳🇱,86.5°W,Non-Planned,Due Diligence (U),Yes,n/a,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-G4-9&sel_satname=NSS-G4-9&plan_id=
CAN-BSS61,Canada 🇨🇦,86.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CAN-BSS61&sel_satname=CAN-BSS61&plan_id=
CAN-BSS9,Canada 🇨🇦,86.5°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CAN-BSS9&sel_satname=CAN-BSS9&plan_id=
F-SAT-30B-88W,France 🇫🇷,88.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-88W&sel_satname=F-SAT-30B-88W&plan_id=plan
PACIFISAT-FSS-88W,Papua New Guinea 🇵🇬,88.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PACIFISAT-FSS-88W&sel_satname=PACIFISAT-FSS-88W&plan_id=plan
F-SAT-N7-88W,France 🇫🇷,88.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-88W&sel_satname=F-SAT-N7-88W&plan_id=
