,Satellite Name,In-License Launch Number,Administration,Longitude,Date of Receipt,Launch Offset (days),Launch Country Match,Launch Spaceport Match,Launch Vehicle Match,Satellite Manufacturer Match,Match Sum
401,TELE-X,1,S,5.0,11.09.1998,147,1,1,1,1,4
155,SIRIUS-3B,1,S,5.0,19.11.2004,259,1,1,1,1,4
186,SIRIUS-P,1,S,5.0,30.04.2007,1345,1,1,1,1,4
187,SIRIUS-P,2,S,5.0,30.04.2007,1345,1,1,1,1,4
971,SIRIUS-5E,3,S,5.0,17.12.2010,2244,1,1,1,1,4
1641,SIRIUS-5E-2,3,S,5.0,31.01.2013,2244,1,1,1,1,4
970,SIRIUS-5E,2,S,5.0,17.12.2010,2927,1,1,1,1,4
161,SIRIUS-2,1,S,4.8,30.06.1998,2999,1,1,1,1,4
969,SIRIUS-5E,1,S,5.0,17.12.2010,6657,1,1,1,1,4
1640,SIRIUS-5E-2,2,S,5.0,31.01.2013,6657,1,1,1,1,4
1119,SMMSAT-7R,1,S,159.0,14.09.2021,7628,1,1,1,1,4
1639,SIRIUS-5E-2,1,S,5.0,31.01.2013,8353,1,1,1,1,4
212,SMMSAT-2R,1,S,-33.5,19.12.2022,10064,1,1,1,1,4
773,USGCSS PH3 E PAC-2,1,USA,-130.0,27.11.2000,102,0,1,1,1,3
1684,SKYNET-4A,1,G,-1.0,24.01.2001,126,0,1,1,1,3
835,JCSAT-2,1,J,154.0,28.09.1998,127,0,1,1,1,3
491,INTELSAT9 340E,1,USA,-20.0,17.11.2003,186,0,1,1,1,3
843,INTELSAT6 335.5E,1,USA,-24.5,29.10.1998,186,0,1,1,1,3
788,NSS-31,1,HOL,-20.0,13.04.2007,201,0,1,1,1,3
133,PALAPA-B1,1,INS,108.0,05.11.2012,202,0,1,1,1,3
1191,INMARSAT-3 POR-3,1,G,143.5,28.04.2003,429,0,1,1,1,3
233,USASAT-7D,1,USA,-101.0,25.09.1998,582,0,1,1,1,3
1272,USASAT-22I,1,USA,-139.0,25.09.1998,640,0,1,1,1,3
297,EUTELSAT 3-21.5E,1,F,21.5,16.04.2002,832,0,1,1,1,3
