ITU Symbol,ITU Country
AFG,Afghanistan 🇦🇫
ALB,Albania 🇦🇱
ALG,Algeria 🇩🇿
AND,Andorra 🇦🇩
AGL,Angola 🇦🇴
ATG,Antigua and Barbuda 🇦🇬
ARG,Argentina 🇦🇷
ARM,Armenia 🇦🇲
AUS,Australia 🇦🇺
AUT,Austria 🇦🇹
AZE,Azerbaijan 🇦🇿
BAH,Bahamas 🇧🇸
BHR,Bahrain 🇧🇭
BGD,Bangladesh 🇧🇩
BRB,Barbados 🇧🇧
BLR,Belarus 🇧🇾
BEL,Belgium 🇧🇪
BLZ,Belize 🇧🇿
BEN,Benin 🇧🇯
BTN,Bhutan 🇧🇹
BOL,Bolivia (Plurinational State of) 🇧🇴
BIH,Bosnia and Herzegovina 🇧🇦
BOT,Botswana 🇧🇼
B,Brazil 🇧🇷
BRU,Brunei Darussalam 🇧🇳
BUL,Bulgaria 🇧🇬
BFA,Burkina Faso 🇧🇫
BDI,Burundi 🇧🇮
CPV,Cabo Verde 🇨🇻
CBG,Cambodia 🇰🇭
CME,Cameroon 🇨🇲
CAN,Canada 🇨🇦
CAF,Central African Rep. 🇨🇫
TCD,Chad 🇹🇩
CHL,Chile 🇨🇱
CHN,China 🇨🇳
CLM,Colombia 🇨🇴
COM,Comoros 🇰🇲
COG,Congo (Rep. of the) 🇨🇬
CTR,Costa Rica 🇨🇷
CTI,Côte d'Ivoire 🇨🇮
HRV,Croatia 🇭🇷
CUB,Cuba 🇨🇺
CYP,Cyprus 🇨🇾
CZE,Czech Republic 🇨🇿
KRE,Dem. People's Rep. of Korea 🇰🇵
COD,Dem. Rep. of the Congo 🇨🇩
DNK,Denmark 🇩🇰
DJI,Djibouti 🇩🇯
DMA,Dominica 🇩🇲
DOM,Dominican Rep. 🇩🇴
EQA,Ecuador 🇪🇨
EGY,Egypt 🇪🇬
SLV,El Salvador 🇸🇻
GNE,Equatorial Guinea 🇬🇶
ERI,Eritrea 🇪🇷
EST,Estonia 🇪🇪
SWZ,Eswatini 🇸🇿
ETH,Ethiopia 🇪🇹
FJI,Fiji 🇫🇯
FIN,Finland 🇫🇮
F,France 🇫🇷
GAB,Gabon 🇬🇦
GMB,Gambia 🇬🇲
GEO,Georgia 🇬🇪
D,Germany 🇩🇪
GHA,Ghana 🇬🇭
GRC,Greece 🇬🇷
GRD,Grenada 🇬🇩
GTM,Guatemala 🇬🇹
GUI,Guinea 🇬🇳
GNB,Guinea-Bissau 🇬🇼
GUY,Guyana 🇬🇾
HTI,Haiti 🇭🇹
HND,Honduras 🇭🇳
HNG,Hungary 🇭🇺
ISL,Iceland 🇮🇸
IND,India 🇮🇳
INS,Indonesia 🇮🇩
IRN,Iran (Islamic Republic of) 🇮🇷
IRQ,Iraq 🇮🇶
IRL,Ireland 🇮🇪
ISR,Israel 🇮🇱
I,Italy 🇮🇹
JMC,Jamaica 🇯🇲
J,Japan 🇯🇵
JOR,Jordan 🇯🇴
KAZ,Kazakhstan 🇰🇿
KEN,Kenya 🇰🇪
KIR,Kiribati 🇰🇮
KOR,Korea (Rep. of) 🇰🇷
KWT,Kuwait 🇰🇼
KGZ,Kyrgyzstan 🇰🇬
LAO,Lao P.D.R. 🇱🇦
LVA,Latvia 🇱🇻
LBN,Lebanon 🇱🇧
LSO,Lesotho 🇱🇸
LBR,Liberia 🇱🇷
LBY,Libya 🇱🇾
LIE,Liechtenstein 🇱🇮
LTU,Lithuania 🇱🇹
LUX,Luxembourg 🇱🇺
MDG,Madagascar 🇲🇬
MWI,Malawi 🇲🇼
MLA,Malaysia 🇲🇾
MLD,Maldives 🇲🇻
MLI,Mali 🇲🇱
MLT,Malta 🇲🇹
MHL,Marshall Islands 🇲🇭
MTN,Mauritania 🇲🇷
MAU,Mauritius 🇲🇺
MEX,Mexico 🇲🇽
FSM,Micronesia 🇫🇲
MDA,Moldova 🇲🇩
MCO,Monaco 🇲🇨
MNG,Mongolia 🇲🇳
MNE,Montenegro 🇲🇪
MRC,Morocco 🇲🇦
MOZ,Mozambique 🇲🇿
BRM,Myanmar 🇲🇲
NMB,Namibia 🇳🇦
NRU,Nauru 🇳🇷
NPL,Nepal (Republic of) 🇳🇵
HOL,Netherlands 🇳🇱
NZL,New Zealand 🇳🇿
NCG,Nicaragua 🇳🇮
NGR,Niger 🇳🇪
NIG,Nigeria 🇳🇬
MKD,North Macedonia 🇲🇰
NOR,Norway 🇳🇴
OMA,Oman 🇴🇲
PAK,Pakistan 🇵🇰
PNR,Panama 🇵🇦
PNG,Papua New Guinea 🇵🇬
PRG,Paraguay 🇵🇾
PRU,Peru 🇵🇪
PHL,Philippines 🇵🇭
POL,Poland 🇵🇱
POR,Portugal 🇵🇹
QAT,Qatar 🇶🇦
ROU,Romania 🇷🇴
RUS,Russian Federation 🇷🇺
RRW,Rwanda 🇷🇼
