COSPAR,NORAD,SATNAME,COUNTRY,LAUNCH
1963-004A,553,SYNCOM 1,US,2/14/63
1963-031A,634,SYNCOM 2 (A 26),US,7/26/63
1964-047A,858,SYNCOM 3,US,8/19/64
1965-028A,1317,INTELSAT 1-F1,ITSO,4/6/65
1966-110A,2608,ATS 1,US,12/7/66
1967-001A,2639,INTELSAT 2-F2,ITSO,1/11/67
1967-026A,2717,INTELSAT 2-F3,ITSO,3/23/67
1967-094A,2969,INTELSAT 2-F4,ITSO,9/28/67
1967-111A,3029,ATS 3,US,11/5/67
1968-081A,3428,OV2-5,US,9/26/68
1969-013A,3691,OPS 0757 (TACSAT),US,2/9/69
1969-069A,4068,ATS 5,US,8/12/69
1969-101A,4250,SKYNET 1,UK,11/22/69
1970-003A,4297,INTELSAT 3-F6,ITSO,1/15/70
1970-021A,4353,NATO 2A,NATO,3/20/70
1970-032A,4376,INTELSAT 3-F7,ITSO,4/23/70
1970-055A,4478,INTELSAT 3-F8,ITSO,7/23/70
1971-006A,4881,INTELSAT 4-F2,ITSO,1/26/71
1971-009A,4902,NATO 2B,NATO,2/3/71
1971-095A,5587,OPS 9431 (DSCS 2-1),US,11/3/71
1971-095B,5588,OPS 9432 (DSCS 2-2),US,11/3/71
1971-116A,5709,INTELSAT 4-F3,ITSO,12/20/71
1972-003A,5775,INTELSAT 4-F4,ITSO,1/23/72
1972-010A,5851,OPS 1570,US,3/1/72
1972-041A,6052,INTELSAT 4-F5,ITSO,6/13/72
1972-090A,6278,ANIK A1 (TELESAT 1),CA,11/10/72
1973-013A,6380,OPS 6063,US,3/6/73
1973-023A,6437,ANIK A2 (TELESAT 2),CA,4/20/73
1973-040A,6691,OPS 6157,US,6/12/73
1973-058A,6796,INTELSAT 4-F7,ITSO,8/23/73
1973-100A,6973,OPS 9433 (DSCS 2-3),US,12/13/73
1974-017A,7229,COSMOS 637,CIS,3/26/74
1974-022A,7250,WESTAR 1,US,4/13/74
1974-033A,7298,SMS 1,US,5/17/74
1974-039A,7318,ATS 6,US,5/30/74
1974-060A,7392,MOLNIYA 1-S,CIS,7/29/74
1974-075A,7466,WESTAR 2,US,10/10/74
1974-093A,7544,INTELSAT 4-F8,ITSO,11/21/74
1974-094A,7547,SKYNET 2B,UK,11/23/74
1974-101A,7578,SYMPHONIE 1,FGER,12/19/74
1975-011A,7648,SMS 2,US,2/6/75
1975-038A,7790,ANIK A3 (TELESAT-3),CA,5/7/75
1975-042A,7815,INTELSAT 4-F1,ITSO,5/22/75
1975-077A,8132,SYMPHONIE 2,FGER,8/27/75
1975-091A,8330,INTELSAT 4A-F1,ITSO,9/26/75
1975-097A,8357,COSMOS 775,CIS,10/8/75
1975-100A,8366,GOES 1 (SMS-C),US,10/16/75
1975-117A,8476,SATCOM 1,US,12/13/75
1975-118A,8482,OPS 3165,US,12/14/75
1975-123A,8513,RADUGA 1,CIS,12/22/75
1976-004A,8585,CTS,CA,1/17/76
1976-010A,8620,INTELSAT 4A-F2,ITSO,1/29/76
1976-017A,8697,MARISAT 1,US,2/19/76
1976-023A,8746,LES 8,US,3/15/76
1976-023B,8747,LES 9,US,3/15/76
1976-029A,8774,SATCOM 2,US,3/26/76
1976-035A,8808,NATO 3A,NATO,4/22/76
1976-042A,8838,COMSTAR 1,US,5/13/76
1976-053A,8882,MARISAT 3,US,6/10/76
1976-066A,9009,PALAPA 1,INDO,7/8/76
1976-073A,9047,COMSTAR 2,US,7/22/76
1976-092A,9416,RADUGA 2,CIS,9/11/76
1976-101A,9478,MARISAT 2,US,10/14/76
1976-107A,9503,EKRAN 1,CIS,10/26/76
1977-005A,9785,NATO 3B,NATO,1/28/77
1977-014A,9852,KIKU 2 (ETS 2),JPN,2/23/77
1977-018A,9862,PALAPA 2,INDO,3/10/77
1977-034A,10000,OPS 9437 (DSCS 2-7),US,5/12/77
1977-041A,10024,INTELSAT 4A-F4,ITSO,5/26/77
1977-048A,10061,GOES 2,US,6/16/77
1977-065A,10143,HIMAWARI 1 (GMS 1),JPN,7/14/77
1977-071A,10159,RADUGA 3,CIS,7/23/77
1977-080A,10294,SIRIO,IT,8/25/77
1977-092A,10365,EKRAN 2,CIS,9/20/77
1977-108A,10489,METEOSAT 1,ESA,11/23/77
1977-118A,10516,SAKURA 1A (CS-1A),JPN,12/15/77
1978-002A,10557,INTELSAT 4A-F3,ITSO,1/7/78
1978-035A,10778,INTELSAT 4A-F6,ITSO,3/31/78
1978-039A,10792,YURI (BSE),JPN,4/7/78
1978-038A,10787,OPS 8790,US,4/7/78
1978-044A,10855,OTS 2,ESA,5/11/78
1978-062A,10953,GOES 3,US,6/16/78
1978-068A,10975,COMSTAR 3,US,6/29/78
1978-071A,10981,GEOS 2,ESA,7/14/78
