Satellite Name,ADM,ORG,Long_nom,Date of bringing into use,Status,Expiry Date for Bringing Into Use,Provision,
102,CAN,,N-GSO,26.05.2022,C,,11.2,
1KUNS-PF,KEN,,N-GSO,10.02.2024,N,10.02.2024,11.2,
2M8M-SAT,CHN,,N-GSO,31.03.2018,C,,11.2,
3CAT5B,E,,N-GSO,17.06.2019,C,,11.2,
3ECOM-1,LIE,,N-GSO,17.11.2019,C,,11.2,
3ECOM-3,LIE,,N-GSO,09.03.2020,C,,11.2,
3GSAT-G17R,F,,10,01.03.2010,C,,11.2,
A4NG_TM,F,,N-GSO,01.06.2023,N,27.07.2027,11.2,
AALTO-1,FIN,,N-GSO,23.06.2017,C,,11.2,
AAUSAT4,DNK,,N-GSO,25.04.2016,C,,11.2,
ACE,USA,,N-GSO,25.08.1997,C,,11.2,
ACES-2,F,ESA,N-GSO,30.04.2025,N,15.02.2029,11.2,
ACN,SUI,,N-GSO,24.01.2021,C,,11.2,
ACN-0,SUI,,N-GSO,31.01.2019,C,,11.2,
ACONNECT,CHN,,N-GSO,29.09.2024,N,29.09.2024,11.2,
ACONNECT-B,CHN,,N-GSO,30.01.2026,N,30.01.2026,11.2,
ACS-1,USA,,-101,01.05.1995,C,,11.2,
ADF 156E GOV,AUS,,156,01.05.2008,C,,11.2,
ADF UHF-2,AUS,,72.1,14.05.2012,C,,11.2,
ADF WEST-2,AUS,,88,03.03.2012,C,,11.2,
ADF WEST-5,AUS,,104,29.03.2010,C,,11.2,
ADM-AEOLUS,F,ESA,N-GSO,22.08.2018,C,,11.2,
ADS,CAN,,N-GSO,22.07.2012,C,,11.2,
ADSB-SAT,CAN,,N-GSO,13.02.2017,C,,11.2,
AFRISAT 3W-PKU,PNG,,-3,30.08.2016,C,,A30B#8.1,
AFRISAT BSS-3W,PNG,,-3,28.08.2015,C,,5.1.6,
AGILE,I,,N-GSO,23.04.2007,C,,11.2,
AIM,USA,,N-GSO,25.04.2007,C,,11.2,
AIS,CHN,,N-GSO,16.11.2016,C,,11.2,
AISTECHSAT-2,E,,N-GSO,01.08.2018,C,,11.2,
ALCOMSAT-24.8W,ALG,,-24.8,18.12.2017,C,,11.2,
ALEXIS,USA,,N-GSO,25.04.1993,C,,11.2,
ALFACRUX,B,,N-GSO,01.04.2022,C,,11.2,
ALGBSAT-24.8W,ALG,,-24.8,18.12.2017,C,,5.1.6,
ALGBSAT-24.8W,ALG,,-24.8,18.12.2017,C,,5.1.2,
ALOS,J,,N-GSO,24.01.2006,C,,11.2,
ALOS,J,,N-GSO,26.05.2008,C,,11.2,
ALOS-2,J,,N-GSO,24.05.2014,C,,11.2,
ALOSSAR,J,,N-GSO,24.01.2006,C,,11.2,
ALPHASAT TDP5,I,,25,31.07.2013,C,,11.2,
ALSAT-1B,ALG,,N-GSO,26.09.2016,C,,11.2,
ALSAT-2,ALG,,N-GSO,12.07.2010,C,,11.2,
AMOS 1-B,ISR,,-4,31.08.1996,C,,11.2,
AMOS 1-B,ISR,,-4,24.03.2001,C,,11.2,
AMOS 2-B,ISR,,-4,01.01.2004,C,,11.2,
