New Name,Old Name
AGORA-17.5W,AGORA-15W
AGORA-23.7E,AGORA-21E
AGORA-31E,AGORA-33E
AGORA-38E,AGORA-37E
AGORA-49E,AGORA-45E
AGORA-8.7E,AGORA-9E
AGRANI-3,OBSIDIAN-3
ALCOMSAT-27.6W,ALCOMSAT-33.5W
AL-FARABI-2,AL-FARABI-1
AMS-A1-33W,AMS-A1-36W
AMS-A2-21W,AMS-A2-24W
AM-SAT A1,GESATCOM-A1
AM-SAT A3,GESATCOM A3
AM-SAT A4,GESATCOM-A4
AM-SAT AF1,GESATCOM-AF1
AM-SAT AF2,GESATCOM-AF2
AM-SAT AF3,GESATCOM-AF3
AM-SAT E2,GESATCOM-E2
AM-SAT E3,GESATCOM-E3
AM-SAT E5,GESATCOM-E5
AMS-B2-13.8E,AMS-B2-12E
AMS-C1-137E,AMS-C1-138E
AMS-C1-43E,AMS-C1-42E
AMS-C1-67.25E,AMS-C1-66E
AMS-C1-82.5E,AMS-C1-84E
AMS-C2-39.2E,AMS-C2-36E
AMS-C8-114E,AMS-C8-113E
AMS-CK-22.75E,AMS-CK-22E
AMS-CK-26W,AMS-CK-22W
AMS-CK-33W,AMS-CK-31W
AMS-CK-43E,AMS-CK-41E
AMS-CK-65E,AMS-CK-59E
AMS-CK-82.5E,AMS-CK-77E
ANIK D-2,TELESAT D-2
ANIK E-A,TELESAT E-A
ANIK E-B,TELESAT E-B
ANIK-F1,CANSAT-1A
ANIK-F2,CANSAT-4
ANIK-F3,CANSAT-22
APMTSAT1-39.5E,APMTSAT1-37.5E
ARABSAT 1-A,ARABSAT 1
ARABSAT 1-B,ARABSAT 2
ASAT W026,ASAT W024
ASAT-B,ASAT LEO
ASAT-P1B,ASAT W006
ASAT-P2B,ASAT E024
ASAT-P3B,ASAT E030
ASIASAT-1,ASIASAT-C
ASIASAT-100.3U,ASIASAT-EKU
ASIASAT-100.5T,ASIASAT-100.7T
ASIASAT-100.7U,ASIASAT-CKU
ASIASAT-105.5T,ASIASAT-105.7T
ASIASAT-71U,ASIASAT-70U
ASIASAT-90.5E-A,ASIASAT-90E-A
ASISAT-98E-A,ASIASAT-98.5E-A
AST-102W,AST-2-108W
AST-IKAU-126.9E,AST-6-126E
AST-IKAU-67.5E,AST-6-066E
AST-NG-C-3,AST-5-NGSO1
ATHENA-FIDUS-23.7E,ATHENA-23.7E
ATHENA-FIDUS-25E,ATHENA-25E
ATHENA-FIDUS-31E,ATHENA-31E
ATHENA-FIDUS-38E,ATHENA-38E
ATHENA-FIDUS-49E,ATHENA-49E
AUSSAT 156E PAC,AUSSAT-2
AUSSAT A 156E,PACIFIC-2
AUSSAT A 156E,AUSSAT-2
AUSSAT A 160E,AUSSAT-1
AUSSAT A 160E PAC,AUSSAT PACIFIC-1
AUSSAT A 164E,AUSSAT-3
AUSSAT A 164E PAC,AUSSAT PACIFIC-3
AUSSAT B 156E,AUSSAT B2
AUSSAT B 156E MC,AUSSAT B2 MC
AUSSAT B 156E MOB,AUSSAT B2-MOB
AUSSAT B 156E NZ,AUSSAT B2 NZ
AUSSAT B 156E R,AUSSAT B2-R
AUSSAT B 156E S,AUSSAT B2-S
AUSSAT B 160E,AUSSAT B1
AUSSAT B 160E MC,AUSSAT B1 MC
AUSSAT B 160E MOB,AUSSAT B1-MOB
AUSSAT B 160E NZ,AUSSAT B1 NZ
AUSSAT B 160E R,AUSSAT B1-R
AUSSAT B 160E S,AUSSAT B1-S
AZERSAT 45E,AZERSAT 43.5E
AZERSAT 95.9,AZERSAT 96
AZERSAT A,AZERSAT 42
AZERSAT B,AZERSAT 57
AZERSAT C,AZERSAT C62
AZERSAT D,AZERSAT C42
AZERSAT E,AZERSAT C37
AZERSAT-G (59E),AZERSAT-62E
BIFROST-0.8W-2010-KA,NORSAT-1D
BIFROST-2E-FSS-2009,BIFROST-8E-2009
BIFROST-4W-FSS-2009,BIFROST-0.8W-2009
BRUSAT-A,BRUSAT-76.5E
BRUSAT-B,BRUSAT-85E
BRUSAT-C,BRUSAT-87.5E
BSB-1,UNISAT 1
BT-SAT 21.5E,MCSAT-2 E024
BT-SAT 44.2E,MCSAT-2 E048
CALIPSO,PICASSO
CANSAT-10 XKU,CANSAT-10
CANSAT-10V,CANSAT-10
CANSAT-11 XKU,CANSAT-11
CANSAT-11V,CANSAT-11
CANSAT-12 XKU,CANSAT-12
CANSAT-12V,CANSAT-12
CANSAT-13 XKU,CANSAT-13
CANSAT-13V,CANSAT-13
CANSAT-14 XKU,CANSAT-14
CANSAT-14V,CANSAT-14
CANSAT-15 XKU,CANSAT-15
CANSAT-15V,CANSAT-15
CANSAT-16 XKU,CANSAT-16
CANSAT-16V,CANSAT-16
CANSAT-22,ANIK-F3
CANSAT-4,ANIK-F2
CD-SAT 105.2E,MCSAT E108
CD-SAT 123.1W,MCSAT W126
CD-SAT 148E,MCSAT E144
CD-SAT 152E,MCSAT E150
CHINASAT-163E,CHINASAT-164.5E
CHINASAT-71.7E,CHINASAT-71.5E
CHINASAT-D-110.5E,CHINASAT-D17
CHINASAT-D-115.5E,CHINASAT-D18
CHINASAT-D-125E,CHINASAT-D19
CHINASAT-D-163E,CHINASAT-D23
CHINASAT-D-87.5E,CHINASAT-D13
CHINASAT-E-113E,CHINASAT-E29
CHINASAT-E-125E,CHINASAT-E34
CHINASAT-L1,CHINASAT-134E
CHNBSAT-K-101.4E,CHNBSAT-G4-7
CHNSAT-118E,ASIASAT-AAB
COMS-116.2E,COMS-122E
COMS-128.2E,COMS-134E
CP 125.2E,CP 126E
CP 60.75E,CP 066E
CP 60.75E G2,BASAT E060
DFH-5-03A,DFH-G1-06
DJIBOUTI-1B,DJIBOUTI-1A
DRN-D1,VP 006W
DRN-D2,VP 078W
DRN-D3,VP 162W
DRN-D4,VP 102E
DRN-N1B,CP LEO
DRN-N2B,CP MEO
DRN-N3B,CP HEO
DRN-P1,VP 042W
DRN-P1B,CP 042W
DRN-P2,VP 018E
DRN-P2B,CP 018E
DRN-P3,VP 030E
DRN-P3B,CP 030E
DRN-P4,VP 042E
DRN-P4B,CP 042E
DUB DUB-4-7.7W,DUB DUB-4-1.7W
DUB DUB-5-18W,DUB DUB-5-17W
DUB DUB-6-15.5W,DUB DUB-6-14W
EAST-1,EAST-13E
EAST-2,EAST-22E
EGYCOMM0A,NAVISAT-12A
EGY-N-SAT,EGYCOMM16A
ELCOR 2,AGRANI-1
ELSA-D,ADRAS-1
ENDEAVOUR-1,ENDEAVOUR
ENVISAT,ENVISAT-1
ESHAILSAT-26E-2,ARABSAT-AXB26E_KU
ESSELSAT-1,AGRANI-3
